barcode	current_name	proposed_name	decision	reason
3600542375801	גרנייה פיור אקטיב 3ב1 פחם	3 ב-1 פיור אקטיב פחם	reject	loses brand (Garnier)
3600542456562	גרניה מים מיסלריים עם פחם 400 מל	גרנייה - מים מיסלרים פחם 400 מ"ל	accept	fixes the brand spelling (Garnier), no information loss
3600542513241	גרניה סרום עם פחם + BHA + AHA + ניאצינא	גרנייה סקין אקטיב סרום לעור הפנים עם פחם	reject	loses specific active ingredients (BHA, AHA, Niacinamide)
3600542541411	גרניה קרם סרום ויטמין C לילה 30 מל	גרנייה סרום ויטמין סי לילה	reject	loses product form (cream) and size (30ml)
3600542572804	גרנייה קרם לחות פחם+ AHA + BHA	גרנייה פיור אקטיב קרם לחות פחם	reject	loses active ingredients (AHA, BHA)
3600542619103	GARNIER פיור אקטיב מדבקות לפצעונים 22 יח'	גרנייה - פיור אקטיב מדבקות פצעונים 22 יח'	reject	no genuine improvement, just re-transliteration
3600542658171	גרניה סרום עם חומצה סליצילית לתיקון מראה	גרנייה - פיור סרום חומצה סליצילית 30 מ"ל	accept	adds concrete size (30ml) and product line name, fixes brand spelling, loses only vague marketing language
3605532973623	לנקום אבסולו BX קרם לילה 75 מל	ABSOLUE BX קרם לילה 75מל	reject	loses the parent brand name (Lancome)
3608580109280	קונפיטורה תות שדה 37	בון מאמן 370 גרם תות	accept	completes brand (Bonne Maman) and weight (370g) fully from an otherwise generic+truncated name
3608580147503	לימונדה אנדרוז 1.5	מיץ לימונדה 1.5ליטר	reject	loses brand (Andros), capping-fallback
3608580147534	אנדרוז משקה בסגנון מ	מיץ מוחיטו טבעי 1.5ל	reject	loses brand (Andros), capping-fallback low confidence
3608580147565	תפוזים אנדרוז 1.5 ל	מיץ תפוזים טבעי 1.5ל	reject	loses brand (Andros), capping-fallback low confidence
3608580147596	תפוחים אנדרוז 1.5 ל	מיץ תפוחים טבעי 1.5ל	reject	loses brand (Andros), capping-fallback low confidence
3608580162506	מעדן פרי סיינט אמור תות 275 גר	סיינט אמור 275 גרם תות	reject	loses product type (fruit dessert)
3616303440008	אדידס דאודורנט ספריי	דאודורנט ספריי לגבר	reject	loses brand (Adidas)
3616303441166	פיוזן ספריי גוף דינ	ספריי גוף לגבר	reject	loses brand (Fusion)
3616303842161	אדידס דאודורנט ספריי	דאודורנט ספריי לגבר	reject	loses brand (Adidas)
3616474434653	מארז 6 סוללות AAA אל	קרפור מארז סוללות AA	reject	loses count (6), battery type becomes ambiguous, capping-fallback
3616474434691	מארז 6 סוללות AA אלק	קרפור מארז סוללות AA	reject	loses count and "Alkaline" completion, capping-fallback
3616479277651	20 שקיות אשפה 30 ליט	קרפור אסנשיאל 20 שקי	reject	loses product-type completion and size, capping-fallback
3616479277668	10 שקיות אשפה 50 ליט	קרפור אסנשיאל 10 שקי	reject	loses product-type completion and size, capping-fallback
3616479277750	אקספורט 10 שקיות אשפ	קרפור אקספורט 10 שקי	reject	similarly truncated, capping-fallback, no clear gain
3616479277767	אקספורט 8 שקיות אשפה	קרפור אקספורט 8 שקיו	reject	truncates an already-complete current name, capping-fallback
3660989254121	וודקה 40% 700 מ"ל -	קרפור וודקה 40% 700	accept	retains the concentration and size figures, adds brand, loses only an inferable unit word
3661163991580	אדידס דאו ספריי נשים קול אנד קר 150 מל	אדידס דאו ספריי A3 לאשה קול קר 6ב1 150	accept	adds model code (A3) and formula claim (6-in-1), keeps size number, no real info loss
3662444005149	לחם מלא ללא קרום 400	לחם בלי קשה	reject	loses grain type (whole wheat) and weight, awkward wording
3664346339964	ט'ריז כדור שוקול	טריס מנטה	reject	conflicting flavor claim (chocolate vs mint)
3664346344890	ט'ריז כדור שוקולד חל	טריס שוקולד חלב	accept	completes the flavor descriptor (milk chocolate) that current cuts off
3664346348706	כדור שוקולד חלב בטעם	שוקולד תפוז	accept	reveals the actual distinguishing flavor (orange) that current's truncation completely omits
3664346348713	כדור שוקולד חלב בטעם	שוקולד תפוז	accept	reveals the actual distinguishing flavor (orange) that current's truncation completely omits
3664944675778	קופלן 3 ב-1 סטריפים	קולפן 3 ב-1 סטריפים	reject	unverifiable spelling variant, no clear improvement
3665468401515	פיניש טבליות למדיח אולטימייט פלוס ניחוח לימון 33 יחידות	קאפסולות למדיח אולטימט	reject	conflicting product form (tablets vs capsules), massive info loss
3665468401560	פיניש טבליות למדיח אולטימייט פלוס 33 יחידות	תבליות פיניש	reject	massive info loss, spelling error introduced
3701086305719	יין ואלס לה קוק מלבק	יין אדום לה קוק מלבק	reject	loses a brand/qualifier word (Valles), capping-fallback low confidence
3701086306730	יין ואלס לה קוק שרדו	יין לה קוק לבן שרדונ	reject	loses a brand/qualifier word (Valles), capping-fallback low confidence
3701086307300	יין שרדונה לבן יבש 7	יין לבן יבש שרדונה ל	reject	reordering only, no genuine improvement
3701086307317	יין קברנה סוביניון א	יין קברנה סוביניון ל	reject	unclear/ambiguous truncated fragment change, no verified improvement
3701086307584	יין שיראז אדום יבש 7	יין אדום יבש שיראז ל	reject	reordering only, no genuine improvement
3701086309120	יין לבן שרדונה לנגדו	יין לבן יבש שרדונה 7	reject	loses the start of a region/estate name for a generic "dry" descriptor
3701086309137	יין אדום שיראז 750 מ	יין אדום יבש שיראז 7	reject	more severely truncates the size figure, capping-fallback
3701086309144	יין אדום קברנה סובינ	יין אדום יבש קברנה ס	reject	more severely truncates varietal completion, capping-fallback
3701086309151	יין אדום מרלו 750 מל	יין אדום יבש מרלו 75	reject	truncates an already-complete size figure, capping-fallback
3701086309489	יין אדום פינו נואר 7	יין אדום יבש פינו נו	reject	more severely truncated, capping-fallback
3701086309496	יין רוזה גרנאש 750 מ	יין רוזה יבש גרנאש 7	reject	more severely truncated size, capping-fallback
3701086309502	יין לבן סוביניון בלא	יין לבן יבש סוביניון	reject	loses varietal completion (Blanc), capping-fallback
3701086309878	יין לבן גרוס מנסנג 7	יין לבן יבש גרוס מנס	reject	more severely truncates a distinctive varietal name, capping-fallback
3701086314148	יין פינו נואר אדום י	יין פינו נואר לס פיא	accept	"Les Piares" is a specific, verifiable estate name (corroborated by the parallel barcode 3701086314155)
3701086314155	יין מלבק אדום יבש 75	יין מלבק לס פיארס 75	accept	adds a specific estate/cuvée name (Les Piares), size figure retained
373201	דג אמור שלם נקי	גידים חב"ד קפוא	reject	completely different/mismatched product identity
3760001677072	שקית 3 בלונים אורז V	מארז בלוני פרוזן	accept	current is garbled/nonsensical (rice?), proposed gives a clear, plausible balloon theme
37600207188	חמאת בוטנים סקיפי קל	חמאת בוטנים קלאסית	reject	loses brand (Skippy) despite completing the variant word
3760027601280	יין לבן גוורץ טרמינר	יין לבן חצי יבש גוור	reject	truncates an already-complete varietal name, capping-fallback low confidence
37600297943	מטבל סלסה חריף 439 ג	מטבל סלסה חריפה	reject	loses weight (439g) for a minor grammatical correction
3760030144590	סורימי חצי ירח 350 ג	דליקטס כושר-סורמי יר	reject	loses weight, introduces a misspelling, capping-fallback
3760040420394	יין שאטו פול מאס קלו	יין פול מאס קלו דה מ	accept	continues the specific cuvée name further than current, brand corroborated by brand field
3760040421261	יין רוזה סירה פול מא	יין פול מאס רוזה סיר	accept	completes the brand name fully (Paul Mas), corroborated by brand field
3760040422954	יין פול מאס רזרב מלב	יין אסטייט מאלבק פול	reject	conflicting product tier/line designation (Reserve vs Estate), capping-fallback
3760040422961	יין פול מאס רזרב קרי	פול מאס קריניאן גפני	reject	loses the "Reserve" tier designation, capping-fallback
3760049791457	מארז 8יח עוגות שוקול	מאפה לה בולנג'ר	reject	loses count and flavor for a generic category and a brand name
3760049791532	קרואסונים לה בולנגר	קורסון בריוש	reject	drops brand, conflicting product variant claim, spelling issue
3760049791549	לחמניות בריוש שוקוצי	ביריוש שוקולד	reject	loses product form (rolls) and flavor specificity, spelling issue
3760049791556	חלת בריוש לה בולנגר	חלה בריוש	reject	loses brand (La Boulanger)
3760049799200	לחמניות בריוש לה בול	קינוח בריוש	reject	conflicting product category (rolls vs dessert), loses brand
3760049799316	לחם לה בולנגר ללא קר	לחם ללא קשה	reject	loses brand, awkward/incomplete grammatical phrasing
3760098352265	יין סן מרטין רוזה 75	יין שאטו סנט מרטין ר	reject	loses the size figure (750ml), capping-fallback despite brand corroboration
3760105300616	יין גוורצטרמינר טרימ	טרימבך יין	reject	loses the complete varietal name (Gewürztraminer) for a completed brand name
3760125946719	רוזה אור פרובאנס 750	יין רוזה יבש	reject	massive info loss (region, cuvée name, size all dropped)
3760234100804	יין שאטו דה לאסקארל	שאטו דה ל'אסקארל לה	reject	still incomplete/truncated, capping-fallback, no clear meaningful gain
3760260450096	DARK MONTALE אדפ100 מל	MONTALE DARK אדפ100 מל	accept	reorders to put the actual brand name first, matching standard product naming convention, no info loss
3760263790021	יין שבלי דומיין אלכס	שאבלי יין לבן	reject	loses specific producer name (Domaine Alexandre)
3770000016598	יין שבילי מגנום כריס	שבלי כריסטוף מגנום	accept	fixes spelling and completes the brand name (Christophe) fully
3770000016659	750 יין שרדונה כריסט	יין לבן יבש	reject	massive info loss (size, varietal, brand all dropped)
3770000016840	750 יין שבלי כריסטוף	כריסטוף פטריס שבלי	reject	loses the size figure (750ml)
3770000016864	750 יין שבלי פטיט כ	כריסטוף פטריס שבלי	reject	loses size and a potentially distinct appellation qualifier (Petit Chablis)
3770012307042	יין לבן פטיט שאבלי 7	יין לבן יבש פטי שאבל	reject	no clear net gain, capping-fallback, minor spelling degradation
3770012307059	יין לבן שאבלי 750 מל	יין לבן יבש שאבלי 75	reject	truncates an already-complete size figure, capping-fallback
3770019952009	יין מאסיו בוטה בורדו	שאטו מאסיו סוביניון	reject	swaps region for varietal with no clear net gain, capping-fallback low confidence
3800016701161	חצאי שזיף בסירופ 710	שזיפים בסירופ	reject	loses "halves" product-form distinction and weight
3800016703042	מלפפון סבא בחומץ 580	מלפפונים בחומץ	reject	loses brand (Saba) and weight
3800016703554	עגבניות סבא שרי 580	עגבניות שרי בחומץ	reject	loses brand (Saba) and weight
3800020423462	קיט קט	kitkat	reject	no genuine improvement, arguably worse formatting
3800020472569	קיט קט צ'אנקי קרמל	חטיף קיט קט	reject	loses specific variant (Chunky Caramel)
3800023408800	בלה פיין צבע שיער בתוספת קרטין מס' 7.65	בלה פיין7.65	reject	massive info loss (hair color, keratin claim dropped)
3800024310515	במבה לוטו	במבה בסט	reject	unverifiable variant name change, no clear improvement
3800034959360	שלישית ריח דגל ישראל	מטהר אוויר לרכב בצור	reject	loses count and specific design theme, capping-fallback, truncated
3800034960335	אריון הום פרפיום מפי	מפיץ ריח 150 מ"ל S	reject	loses brand and product line, cryptic addition, capping-fallback
3800034968027	מפיץ ריח 150מל ונילה	אריון הום פרפיום מפי	reject	loses size and flavor, capping-fallback, truncated
3800034986991	אריון בקבוק מקלות מפ	מפיץ ריח 50 מ"ל- מג	reject	loses brand and product-type detail (reed diffuser), capping-fallback
3800034987189	אריון מפיץ ריח סני ה	מפיץ ריח 100 מ"ל ויק	reject	loses brand, conflicting flavor fragment, capping-fallback
3800034987202	אריון מפיץ ריח קריסט	מפיץ ריח 100 מ"ל ויק	reject	loses brand, conflicting flavor claim, capping-fallback
3800034987226	אריון מפיץ ריח בתלוו	מפיץ ריח 100 מ"ל ויק	reject	loses brand, duplicate/conflicting proposal text, capping-fallback
3800090603191	ממחטות אף כיס	נייר לאף	reject	loses "pocket" size specificity, degrades to a vague generic term
3800090603207	ממחטות אף	טישיו	reject	no clear improvement, loses the explicit "nasal" qualifier
3800090603221	ממחטות	טישיו	reject	no genuine improvement
3800093510137	טימס עוגת בריוש במיל	טימס בריוש בטעם וניל	reject	unverified flavor claim replacing confirmed "filled" format info
3800103433586	בקבוק מים תריסר 500	מים 12*500 מ"ל	accept	conveys the same pack information in a clearer, more standard retail notation, no real content loss
3800202330021	קוראסון 22 קראט תות	קרואסון במילוי תות	accept	fixes a likely spelling error and clarifies product format, dropped fragment is unclear/unverifiable itself
3800500615011	פחמים ביו אורגני 2 ק	פחם	reject	massive info loss (organic claim, weight dropped)
3800502028581	ארוחה טבעונית בטעם פירות יער 24גר חלבון	ארוחה בטעם פירות יער לשתייה טבעוני 500	reject	loses specific protein content (24g), a key nutritional fact for this product
3838447000331	וילדה- 3 ספוגיות גלי	וילדה ספוגיות גליצי	reject	loses count (3 sponges), no clear net gain since ingredient name remains incomplete either way
38527591145	דגני בוטנים קפטן קרא	קפטן בטנים קוואקר דג	accept	adds an accurate, verifiable parent brand (Quaker, the real maker of Cap'n Crunch)
3890000781033	בלוגה 200 מל	בלוגה 0.2	reject	drops the explicit unit label, making the size figure ambiguous
39000008907	אורטגו רוטב טאקו מיילד 226 גרם	אורטגה רוטב טאקו מיילד 226 גרם	accept	corrects the brand spelling (Ortega) with no information loss
39000008914	אורטגו רוטב טאקו חריף 226 גרם	אורטגה רוטב טאקו חריף 226 גרם	accept	corrects the brand spelling (Ortega) with no information loss
4000415065904	סאלוט שוקלד חלב אגוזים	שוקולד חלב אגוזים	reject	loses brand (Salute) despite fixing a spelling issue
4000417013002	ריטר שוקולד לב	שוקולד לבן אגוזי לוז	reject	loses brand (Ritter), a well-known, relevant chocolate brand
4000417025005	ריטר שוקולד חלב עם מ	שוקולד מריר ומרציפן	reject	conflicting chocolate type claim (milk vs dark), loses brand
4000417026002	ריטר שוקולד חלב פרלי	שוקולד חלב קרם פרלין	reject	loses brand (Ritter)
4000417101419	אמיצלי גלילי וופל ע	גלילי וופל קרם וניל	reject	loses brand (Amitzli)
4000417294005	ריטר שוקולד חלב עם מ	שוקולד חלב וקרם קקאו	reject	loses brand (Ritter)
4000417298003	שוקולד ריטר ספורט קוקוס 100 גרם	שוקולד חלב קוקוס	reject	loses brand (Ritter Sport) and weight, from an already-complete current name
4000417626011	שוקולד ריטר ספורט מר	ריטר חלב מריר 70%	reject	contradictory chocolate type claim (milk and dark simultaneously), likely garbled
4000522063718	פומבר אוריגנל חטיף ת	צאו פומבר טיבעי	reject	conflicting variant claim (Original vs Natural), spelling error, unclear addition
4000539280726	לינדט אקסלנס שוקולד	שוקולד מריר מעולה	reject	loses brand (Lindt Excellence)
4000539280740	לינדט אקסלנס 78% 100	שוקולד מריר מעולה	reject	massive info loss (brand, cocoa %, weight all dropped)
4000576399405	פדים להסרת איפור רחבים	פדים רחבים להסרת איפור	reject	reordering only, no genuine improvement
4001104567211	אשפתון שחור רחני 75/85 25 יחידות	שקיות זבל	reject	massive info loss (color, scent, size, count all dropped)
4001499960178	נוזל ניקוי כללי אקול	פרוש נוזל לניקוי כלל	reject	unverified brand claim replacing an unclear fragment, capping-fallback low confidence
4001499961540	נוזל ניקוי רב תכליתי	פרוש נוזל ניקוי רב ת	accept	adds a specific brand (Prosh) while preserving the "multi-purpose" descriptor almost entirely
4001638580106	קרם לילה רימונים ושורש מאקה וולדה 30 מ"ל	וולדה קרם לילה רימונים ושורש מאקה למיצוק	reject	loses size (30ml) despite gaining a functional claim
4001683011426	טמפונים או בה פרוקומ	אאובה	reject	massive info loss, garbled replacement
4001683011525	או בה מיני פרו קומפורט 32 יח	או-בה פרו קומפורט מיני 32 יח	reject	reordering only, no genuine improvement
4001686002087	האריבו סוכריות גומי	גומי ממתקים הריבו	reject	reordering/re-transliteration only, no genuine improvement
4001686017555	האריבו סוכריות וולנט	הריבו	reject	massive info loss (category and variant name dropped)
4001686020920	האריבו סוכריות גומי	חריבו נחש	reject	introduces a spelling error in the brand name despite adding shape specificity
